Code,Name,City,Slug,Lat,Long
VRN,Verona Villafranca Airport,Verona,vrn,45.395706,10.888533
KZN,Kazan,,kzn,55.606186,49.278728
ZAG,Zagreb,,zag,45.742931,16.068778
LCG,A Coruna,,lcg,43.302061,-8.377256
FLR,Florence Amerigo Vespucci,,flr,43.809953,11.2051
KJA,Krasnoyarsk,,kja,56.18,92.475
UFA,Ufa,,ufa,54.557511,55.874417
CLJ,Cluj-Napoca,,clj,46.785167,23.686167
RGS,Burgos,,rgs,42.357628,-3.620764
SLM,Salamanca,,slm,40.952117,-5.501986
EZE,Buenos Aires Ministro Pistarini,,eze,-34.822222,-58.535833
GLA,Glasgow International Airport,Glasgow (GB),gla,55.871944,-4.433056
VGO,Vigo,,vgo,42.2318,-8.626775
ROV,Rostov,,rov,47.258208,39.818089
GRX,Granada,,grx,37.188731,-3.777356
SVX,Yekaterinburg,,svx,56.743108,60.802728
CLT,Charlotte,,clt,35.214,-80.943139
SEN,London Southend Apt,,sen,51.571389,0.695556
FNC,Funchal,Funchal,fnc,32.697889,-16.774453
RMI,Rimini,,rmi,44.020292,12.611747
OVB,Novosibirsk,,ovb,55.012622,82.650656
IEV,Kiev Zhuliany Intl Apt,,iev,50.401694,30.449697
KGD,Kaliningrad,,kgd,54.89005,20.592633
DRS,Dresden,,drs,51.132767,13.767161
FAE,Faroe Islands,,fae,62.063628,-7.277219
BJL,Banjul,Banjul,bjl,13.337961,-16.652206
TGM,Tirgu Mures,,tgm,46.467714,24.412525
BOG,Bogota,,bog,4.701594,-74.146947
BRN,Berne Belp,,brn,46.9141,7.497153
CRA,Craiova,,cra,44.318139,23.888611
TSR,Timisoara,,tsr,45.809861,21.337861
BJZ,Badajoz,,bjz,38.89125,-6.821333
RVN,Rovaniemi,Rovaniemi,rvn,66.564822,25.830411
GNB,Lyon Grenoble-St Geoirs Apt,Lyon,gnb,45.362944,5.329375
ABZ,Aberdeen (GB),Aberdeen (GB),abz,57.201944,-2.197778
JER,Jersey,Jersey,jer,49.207947,-2.195508
GIB,Gibraltar,Gibraltar,gib,36.151219,-5.349664
BJV,Bodrum Milas Airport,Bodrum,bjv,37.249,27.667
INN,Innsbruck,Innsbruck,inn,47.260219,11.343964
AJA,Ajaccio,Ajaccio,aja,41.923637,8.802917
IOM,Isle of Man,Isle of Man,iom,54.083333,-4.623889
ADB,Izmir Adnan Menderes Apt,Izmir,adb,38.292392,27.156953
HRG,Hurghada,Hurghada,hrg,27.178317,33.799436
INV,Inverness,Inverness,inv,57.5425,-4.0475
NBE,Enfidha,Enfidha,nbe,36.075833,10.438611
SID,Sal Island,Sal Island,sid,16.741389,-22.949444
CCC,Cayo Coco,Cayo Coco,ccc,22.5132,-78.511
PIT,Pittsburgh International Apt,Pittsburgh,pit,40.491467,-80.232872
PNQ,Pune,Pune,pnq,18.582111,73.919697
BLR,Bengaluru,Bengaluru,blr,12.949986,77.668206
DMK,Bangkok Don Mueang International Arpt,Bangkok,dmk,13.912583,100.60675
UBP,Ubon Ratchathani,Ubon Ratchathani,ubp,15.251278,104.870231
UTH,Udon Thani,Udon Thani,uth,17.386436,102.788247
CEI,Chiang Rai,Chiang Rai,cei,19.952342,99.882928
CNX,Chiang Mai,Chiang Mai,cnx,18.766847,98.962644
NST,Nakhon Si Thammarat,Nakhon Si Thammarat,nst,8.539617,99.944725
HDY,Hat Yai,Hat Yai,hdy,6.933206,100.392975
TST,Trang,Trang,tst,7.508744,99.616578
LOE,Loei,Loei,loe,17.439133,101.722064
MAQ,Mae Sot,Mae Sot,maq,16.699856,98.545056
UNN,Ranong,Ranong,unn,9.777622,98.585483
KKC,Khon Kaen,Khon Kaen,kkc,16.466628,102.783661
BFV,Buriram,Buriram,bfv,15.229539,103.253231
KOP,Nakhon Phanom,Nakhon Phanom,kop,17.383794,104.643022
SNO,Sakon Nakhon,Sakon Nakhon,sno,17.195142,104.118625
NNT,Nan,Nan,nnt,18.807914,100.783419
LPT,Lampang,Lampang,lpt,18.270933,99.504167
PHS,Phitsanulok,Phitsanulok,phs,16.782939,100.279122
PRH,Phrae,Phrae,prh,18.132169,100.164664
KBV,Krabi,Krabi,kbv,8.095969,98.988764
CJM,Chumphon,Chumphon,cjm,10.7112,99.361706
URT,Surat Thani,Surat Thani,urt,9.1325,99.135556
TSN,Tianjin,Tianjin,tsn,39.124353,117.346183
ROI,Roi Et,Roi Et,roi,16.116761,103.773797
OOL,Gold Coast,Gold Coast,ool,-28.164444,153.504722
NKG,Nanjing,Nanjing,nkg,31.742042,118.862025
TAO,Qingdao,Qingdao,tao,36.266108,120.374436
SHE,Shenyang,Shenyang,she,41.3824,123.2901
